"Date","ES","NQ","RTY","IXT","ADBE","AMED","CMCSA","CRM","CSCO","DECK","FR","GNRC","GOOGL","HAE","IBM","INTC","JNJ","JPM","NVDA","PEP","POR","PYPL","TDOC","V"
2018-02-05,2607.75,6429.25,1459.3,642.4,190.270004,50.68,37.590103,107.650002,36.60593,94.900002,27.593098,48.290001,1062.390015,60.720001,139.250473,42.37014,123.466331,103.018791,212.276337,107.589485,38.220985,74.705002,33.950001,114.764015
2018-02-06,2694.25,6653.75,1507.4,656.2,194.470001,54.549999,38.040794,109.57,37.918003,95,27.194849,48.630001,1084.430054,66.400002,141.815826,43.031277,124.82988,106.152924,224.077194,106.7435,37.731575,75.68,34.700001,118.416092
2018-02-07,2668.25,6555.75,1497.6,649.9,192.339996,56.16,38.501083,110.050003,38.078472,95.690002,27.185364,48.400002,1055.410034,69.730003,140.455566,43.309147,124.441643,106.872536,227.275726,106.687096,37.740982,75.589996,34.099998,118.100243
2018-02-08,2593.5,6317.25,1463.8,622.8,185.160004,55.240002,36.621578,104.029999,36.596489,90.68,26.313007,46.529999,1007.710022,68.870003,136.067184,40.961636,119.65033,102.147667,216.070892,103.53817,37.411572,72.32,33.049999,112.385223
2018-02-09,2619,6417.75,1476.7,637,187.990005,56.400002,36.985977,106.980003,37.313881,93.260002,27.062096,46.470001,1046.27002,68.699997,137.837296,42.111446,122.651993,104.192902,230.533875,104.506363,38.089218,74.75,32.950001,114.813362
2018-02-12,2655.25,6531.75,1492.3,648.4,192.149994,55.349998,36.957207,108.550003,38.323895,94.029999,27.128473,47.990002,1054.560059,68.839996,139.579712,42.954628,123.352722,105.802582,226.51088,105.211342,38.098625,75.279999,33.799999,116.935524
2018-02-13,2661.75,6560.5,1496.2,650.2,193.479996,55.029999,37.359959,107.690002,38.918579,94.32,27.147436,45.029999,1054.140015,69.230003,138.980484,42.600105,123.059189,106.455917,231.080231,105.408745,38.051567,74.970001,34.150002,116.817078
2018-02-14,2697,6687,1520.7,662.3,197.130005,56.049999,37.810661,109.019997,39.730366,95.5,27.02417,46.580002,1072.699951,69.620003,142.677399,43.481617,122.784569,108.917755,239.811676,102.560608,37.590393,77.269997,35.75,119.264954
2018-02-15,2734,6816,1540.9,674.3,202.970001,55.740002,38.433964,113.120003,41.608803,96,27.289669,45.75,1091.359985,70.290001,143.829819,43.999023,124.261734,109.372261,244.857834,104.308968,38.550388,78.294998,36.900002,120.906303
2018-02-16,2735,6786.75,1544.2,673.9,201.559998,56.459999,38.155872,112.860001,41.844791,94.589996,27.460346,45.689999,1095.5,69.559998,143.986526,43.654087,126.079773,108.586357,242.215561,104.393562,38.776276,78.370003,37.150002,120.481133
2018-02-20,2714,6790.5,1530.6,675.3,202.979996,56.869999,37.849014,114.349998,41.589924,94.980003,26.967276,45.110001,1103.589966,69.089996,143.046158,44.382294,123.920845,108.614761,247.420654,102.908409,37.853928,77.059998,37.75,120.639328
2018-02-21,2698.75,6760.5,1528.2,670.6,202.089996,57.790001,37.407906,114.480003,40.881969,96.019997,26.711258,45.09,1113.75,68.870003,141.93988,44.018192,123.011826,109.06926,239.901077,101.517242,37.609215,76.510002,38.650002,119.077087
2018-02-22,2711.5,6788.75,1536.4,671.2,202.610001,57.02,37.206524,113,40.532711,95.559998,26.938831,45.650002,1109.900024,69.25,141.220734,43.884052,123.011826,108.870422,240.686279,102.701614,37.740982,77.699997,38.799999,119.027649
2018-02-23,2748.75,6909.75,1551.2,684.5,209.740005,57.98,37.877781,114.959999,41.533287,96,27.375008,45.389999,1128.089966,69.989998,143.378067,45.733311,125.009804,111.076591,244.443436,103.096397,38.66333,79.690002,37.950001,121.548996
2018-02-26,2784.5,7000,1561.7,695.7,212.149994,57.880001,37.954498,116.650002,42.817043,96.110001,27.318115,46.200001,1143.699951,71.190002,146.199188,47.055584,125.857933,112.45903,245.089508,104.280762,38.230392,79.349998,38.549999,123.190346
2018-02-27,2747.5,6915.75,1538.3,689.2,208.820007,59.43,35.154415,116.470001,42.514988,95.529999,26.569025,46.110001,1117.51001,70.940002,144.327652,47.822113,125.47673,111.123955,244.572678,104.233757,37.797451,79.459999,37.299999,121.984062
2018-02-28,2714.5,6865,1511.2,684.4,209.130005,59.209999,34.722897,116.25,42.269558,94.580002,26.57851,44.48,1103.920044,70.900002,143.663864,47.228058,123.770935,109.362785,240.537201,103.143402,37.392746,79.410004,40.099998,121.558884
2018-03-01,2678.25,6760.75,1505.4,672.4,206.029999,57.189999,35.039341,119.43,41.344498,94.68,26.739702,43.34,1071.410034,70.029999,141.801559,45.838715,121.293221,107.402779,230.806396,102.381126,37.571571,78.639999,38.549999,119.047417
2018-03-02,2690.25,6804.75,1530.4,679,209.789993,58.52,34.991402,121.919998,41.589924,95.879997,26.692297,43.720001,1084.140015,71.57,142.428497,46.931019,122.760803,107.298615,235.110199,103.252281,37.402164,78.870003,41.950001,119.413254
2018-03-05,2718.5,6877.5,1543.6,686.1,211.160004,58.709999,35.269482,122.5,42.024136,94.690002,27.289669,44.5,1094.76001,71.360001,144.696396,47.668812,123.685165,108.946159,234.225601,103.62159,37.919804,79.07,41.950001,120.510803
2018-03-06,2724,6907.75,1559.1,686.7,212.009995,58.990002,35.355793,124.480003,41.80703,98.290001,27.649994,45.25,1100.900024,72.5,143.562454,48.588646,122.189018,109.040855,240.696228,103.763641,37.082161,79.230003,43.450001,119.699997
2018-03-07,2723.25,6924.5,1573.4,690.7,216.860001,59.98,34.636593,125.330002,41.722076,97.790001,27.583616,45.450001,1115.040039,72.690002,145.959488,49.17313,122.970436,108.633698,240.378174,104.009819,36.940987,79.519997,44.049999,120.481133
2018-03-08,2739.25,6974.25,1573.7,693.4,216.399994,59.959999,35.365379,126.360001,41.854225,95.330002,27.744812,47.009998,1129.380005,73.150002,144.014206,48.617401,125.848404,108.643166,239.722168,106.130928,36.922165,79.870003,43.049999,120.846977
2018-03-09,2784,7098.25,1597.3,706.7,221.110001,60.919998,35.605114,127.410004,42.826485,97.5,28.057724,47.610001,1160.839966,73.959999,146.872162,50.006741,127.506561,111.767807,243.847061,106.566521,36.875107,80.709999,43.150002,123.111252
2018-03-12,2784,7139.5,1601.9,709.3,220.940002,61.59,35.442093,126.779999,42.996395,90.279999,28.038759,46.68,1165.930054,73.900002,147.748001,49.364758,126.391594,111.408005,248.250275,106.765366,37.091576,80.599998,43.25,122.844284
2018-03-13,2768.5,7058.25,1597.7,701.3,219.759995,61.599998,34.933865,126.730003,42.628254,90.870003,27.943937,46.509998,1139.910034,74.410004,146.881378,49.613884,128.030685,110.072929,246.212692,107.570251,37.016277,80.199997,42.799999,121.815964
2018-03-14,2749.75,7033.5,1584.8,699.7,218.440002,61.380001,34.540695,127.989998,42.741531,90.459999,28.086172,46.349998,1148.890015,74.279999,145.775085,49.690544,126.096161,108.841995,247.23645,106.632797,37.195103,83.309998,42.950001,121.202919
2018-03-15,2751.5,7046.5,1579.1,700.9,218.869995,62.73,34.665363,127.220001,42.788731,90.93,27.972385,46.32,1150.609985,73.18,147.148743,48.751545,126.801361,109.1166,247.832825,106.045708,37.13863,82.57,42.5,122.023621
2018-03-16,2752.75,7044,1576.82,699.6,225.550003,62.73,34.358501,125.970001,42.486668,92.470001,28.399082,47.389999,1134.420044,73.580002,147.748001,49.029404,127.392181,109.305969,248.965927,105.714287,37.693924,82.160004,41.25,123.131027
